group1,group2,meandiff,p-adj,lower,upper,reject,metric,grouping
Believes in hard work and providing for her family,Social Justice,0.0131,1.0,-0.0362,0.0625,False,toxicity,ideology
Believes in hard work and providing for her family,Social responsibility and equality,-0.0172,0.9997,-0.0665,0.0322,False,toxicity,ideology
Believes in hard work and providing for her family,Too young to define,-0.017,0.9979,-0.0597,0.0257,False,toxicity,ideology
Believes in individual freedom and community support,"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",0.0,1.0,-0.0493,0.0493,False,toxicity,ideology
Believes in individual freedom and community support,Believes in personal freedom and small government,0.0001,1.0,-0.0492,0.0494,False,toxicity,ideology
Believes in individual freedom and community support,Believes in social justice and equality,0.0003,1.0,-0.049,0.0496,False,toxicity,ideology
Believes in individual freedom and community support,Believes in the importance of individual freedom and creativity,0.0251,0.9612,-0.0242,0.0744,False,toxicity,ideology
Believes in individual freedom and community support,Believes in the importance of understanding and appreciating different cultures,0.0038,1.0,-0.0455,0.0531,False,toxicity,ideology
Believes in individual freedom and community support,"Believes in the interconnectedness of physical, mental, and community health",0.0,1.0,-0.0493,0.0493,False,toxicity,ideology
Believes in individual freedom and community support,Conservative,0.0005,1.0,-0.0352,0.0363,False,toxicity,ideology
Believes in individual freedom and community support,Egalitarian,0.0001,1.0,-0.0492,0.0494,False,toxicity,ideology
Believes in individual freedom and community support,Environmentalism,0.0,1.0,-0.0493,0.0493,False,toxicity,ideology
Believes in individual freedom and community support,Feminist,0.0002,1.0,-0.0491,0.0495,False,toxicity,ideology
Believes in individual freedom and community support,"Helping others, Promoting health and wellness",0.0015,1.0,-0.0478,0.0508,False,toxicity,ideology
Believes in individual freedom and community support,Liberal,0.0033,1.0,-0.0326,0.0393,False,toxicity,ideology
Believes in individual freedom and community support,Libertarian,0.0004,1.0,-0.0489,0.0497,False,toxicity,ideology
Believes in individual freedom and community support,Moderate,0.045,0.1251,-0.0043,0.0943,False,toxicity,ideology
Believes in individual freedom and community support,Not Applicable,0.003,1.0,-0.0463,0.0524,False,toxicity,ideology
Believes in individual freedom and community support,Not applicable,0.0076,1.0,-0.0314,0.0465,False,toxicity,ideology
Believes in individual freedom and community support,Progressive,0.0033,1.0,-0.0344,0.041,False,toxicity,ideology
Believes in individual freedom and community support,Social Justice,0.0303,0.81,-0.019,0.0796,False,toxicity,ideology
Believes in individual freedom and community support,Social responsibility and equality,-0.0,1.0,-0.0493,0.0493,False,toxicity,ideology
Believes in individual freedom and community support,Too young to define,0.0001,1.0,-0.0426,0.0428,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Believes in personal freedom and small government,0.0,1.0,-0.0493,0.0493,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Believes in social justice and equality,0.0003,1.0,-0.049,0.0496,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Believes in the importance of individual freedom and creativity,0.0251,0.9617,-0.0242,0.0744,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Believes in the importance of understanding and appreciating different cultures,0.0037,1.0,-0.0456,0.0531,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature","Believes in the interconnectedness of physical, mental, and community health",0.0,1.0,-0.0493,0.0493,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Conservative,0.0005,1.0,-0.0353,0.0363,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Egalitarian,0.0001,1.0,-0.0492,0.0494,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Environmentalism,0.0,1.0,-0.0493,0.0493,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Feminist,0.0001,1.0,-0.0492,0.0495,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature","Helping others, Promoting health and wellness",0.0015,1.0,-0.0478,0.0508,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Liberal,0.0033,1.0,-0.0326,0.0393,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Libertarian,0.0003,1.0,-0.049,0.0497,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Moderate,0.045,0.1259,-0.0044,0.0943,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Not Applicable,0.003,1.0,-0.0463,0.0523,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Not applicable,0.0075,1.0,-0.0315,0.0465,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Progressive,0.0033,1.0,-0.0344,0.0409,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Social Justice,0.0302,0.8114,-0.0191,0.0795,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Social responsibility and equality,-0.0001,1.0,-0.0494,0.0492,False,toxicity,ideology
"Believes in living a simple, sustainable lifestyle and teaching her children to respect nature",Too young to define,0.0001,1.0,-0.0427,0.0428,False,toxicity,ideology
Believes in personal freedom and small government,Believes in social justice and equality,0.0002,1.0,-0.0491,0.0496,False,toxicity,ideology
Believes in personal freedom and small government,Believes in the importance of individual freedom and creativity,0.0251,0.9623,-0.0243,0.0744,False,toxicity,ideology
Believes in personal freedom and small government,Believes in the importance of understanding and appreciating different cultures,0.0037,1.0,-0.0456,0.053,False,toxicity,ideology
Believes in personal freedom and small government,"Believes in the interconnectedness of physical, mental, and community health",-0.0,1.0,-0.0493,0.0493,False,toxicity,ideology
Believes in personal freedom and small government,Conservative,0.0005,1.0,-0.0353,0.0363,False,toxicity,ideology
Believes in personal freedom and small government,Egalitarian,0.0,1.0,-0.0493,0.0494,False,toxicity,ideology
Believes in personal freedom and small government,Environmentalism,-0.0,1.0,-0.0493,0.0493,False,toxicity,ideology
Believes in personal freedom and small government,Feminist,0.0001,1.0,-0.0492,0.0494,False,toxicity,ideology
Believes in personal freedom and small government,"Helping others, Promoting health and wellness",0.0014,1.0,-0.0479,0.0507,False,toxicity,ideology
Believes in personal freedom and small government,Liberal,0.0033,1.0,-0.0327,0.0392,False,toxicity,ideology
Believes in personal freedom and small government,Libertarian,0.0003,1.0,-0.049,0.0496,False,toxicity,ideology
Believes in personal freedom and small government,Moderate,0.0449,0.1268,-0.0044,0.0942,False,toxicity,ideology
Believes in personal freedom and small government,Not Applicable,0.003,1.0,-0.0463,0.0523,False,toxicity,ideology
Believes in personal freedom and small government,Not applicable,0.0075,1.0,-0.0315,0.0465,False,toxicity,ideology
Believes in personal freedom and small government,Progressive,0.0032,1.0,-0.0344,0.0409,False,toxicity,ideology
Believes in personal freedom and small government,Social Justice,0.0302,0.8131,-0.0191,0.0795,False,toxicity,ideology
Believes in personal freedom and small government,Social responsibility and equality,-0.0001,1.0,-0.0494,0.0492,False,toxicity,ideology
Believes in personal freedom and small government,Too young to define,0.0,1.0,-0.0427,0.0427,False,toxicity,ideology
Believes in social justice and equality,Believes in the importance of individual freedom and creativity,0.0248,0.9659,-0.0245,0.0741,False,toxicity,ideology
Believes in social justice and equality,Believes in the importance of understanding and appreciating different cultures,0.0035,1.0,-0.0459,0.0528,False,toxicity,ideology
Believes in social justice and equality,"Believes in the interconnectedness of physical, mental, and community health",-0.0003,1.0,-0.0496,0.049,False,toxicity,ideology
Believes in social justice and equality,Conservative,0.0002,1.0,-0.0355,0.036,False,toxicity,ideology
Believes in social justice and equality,Egalitarian,-0.0002,1.0,-0.0495,0.0491,False,toxicity,ideology
Believes in social justice and equality,Environmentalism,-0.0003,1.0,-0.0496,0.049,False,toxicity,ideology
Believes in social justice and equality,Feminist,-0.0001,1.0,-0.0495,0.0492,False,toxicity,ideology
Believes in social justice and equality,"Helping others, Promoting health and wellness",0.0012,1.0,-0.0481,0.0505,False,toxicity,ideology
Believes in social justice and equality,Liberal,0.003,1.0,-0.0329,0.039,False,toxicity,ideology
Believes in social justice and equality,Libertarian,0.0001,1.0,-0.0493,0.0494,False,toxicity,ideology
Believes in social justice and equality,Moderate,0.0447,0.1331,-0.0046,0.094,False,toxicity,ideology
Believes in social justice and equality,Not Applicable,0.0027,1.0,-0.0466,0.052,False,toxicity,ideology
Believes in social justice and equality,Not applicable,0.0072,1.0,-0.0318,0.0462,False,toxicity,ideology
Believes in social justice and equality,Progressive,0.003,1.0,-0.0347,0.0406,False,toxicity,ideology
Believes in social justice and equality,Social Justice,0.0299,0.8237,-0.0194,0.0793,False,toxicity,ideology
Believes in social justice and equality,Social responsibility and equality,-0.0004,1.0,-0.0497,0.049,False,toxicity,ideology
Believes in social justice and equality,Too young to define,-0.0002,1.0,-0.0429,0.0425,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Believes in the importance of understanding and appreciating different cultures,-0.0213,0.9938,-0.0707,0.028,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,"Believes in the interconnectedness of physical, mental, and community health",-0.0251,0.9617,-0.0744,0.0242,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Conservative,-0.0246,0.6259,-0.0603,0.0112,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Egalitarian,-0.025,0.9629,-0.0743,0.0243,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Environmentalism,-0.0251,0.9618,-0.0744,0.0242,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Feminist,-0.0249,0.9639,-0.0743,0.0244,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,"Helping others, Promoting health and wellness",-0.0236,0.9798,-0.0729,0.0257,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Liberal,-0.0218,0.8265,-0.0577,0.0142,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Libertarian,-0.0248,0.9667,-0.0741,0.0246,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Moderate,0.0199,0.9975,-0.0294,0.0692,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Not Applicable,-0.0221,0.9907,-0.0714,0.0272,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Not applicable,-0.0176,0.9899,-0.0566,0.0214,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Progressive,-0.0218,0.8762,-0.0595,0.0158,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Social Justice,0.0051,1.0,-0.0442,0.0545,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Social responsibility and equality,-0.0252,0.9606,-0.0745,0.0242,False,toxicity,ideology
Believes in the importance of individual freedom and creativity,Too young to define,-0.025,0.8645,-0.0677,0.0177,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,"Believes in the interconnectedness of physical, mental, and community health",-0.0037,1.0,-0.0531,0.0456,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Conservative,-0.0032,1.0,-0.039,0.0325,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Egalitarian,-0.0037,1.0,-0.053,0.0456,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Environmentalism,-0.0037,1.0,-0.0531,0.0456,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Feminist,-0.0036,1.0,-0.0529,0.0457,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,"Helping others, Promoting health and wellness",-0.0023,1.0,-0.0516,0.047,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Liberal,-0.0004,1.0,-0.0364,0.0355,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Libertarian,-0.0034,1.0,-0.0527,0.0459,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Moderate,0.0412,0.2465,-0.0081,0.0905,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Not Applicable,-0.0007,1.0,-0.05,0.0486,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Not applicable,0.0038,1.0,-0.0352,0.0428,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Progressive,-0.0005,1.0,-0.0381,0.0372,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Social Justice,0.0265,0.9355,-0.0228,0.0758,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Social responsibility and equality,-0.0038,1.0,-0.0531,0.0455,False,toxicity,ideology
Believes in the importance of understanding and appreciating different cultures,Too young to define,-0.0037,1.0,-0.0464,0.039,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Conservative,0.0005,1.0,-0.0353,0.0363,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Egalitarian,0.0001,1.0,-0.0492,0.0494,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Environmentalism,0.0,1.0,-0.0493,0.0493,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Feminist,0.0001,1.0,-0.0492,0.0495,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health","Helping others, Promoting health and wellness",0.0015,1.0,-0.0478,0.0508,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Liberal,0.0033,1.0,-0.0326,0.0392,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Libertarian,0.0003,1.0,-0.049,0.0496,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Moderate,0.045,0.1259,-0.0044,0.0943,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Not Applicable,0.003,1.0,-0.0463,0.0523,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Not applicable,0.0075,1.0,-0.0315,0.0465,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Progressive,0.0033,1.0,-0.0344,0.0409,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Social Justice,0.0302,0.8115,-0.0191,0.0795,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Social responsibility and equality,-0.0001,1.0,-0.0494,0.0492,False,toxicity,ideology
"Believes in the interconnectedness of physical, mental, and community health",Too young to define,0.0001,1.0,-0.0427,0.0428,False,toxicity,ideology
Conservative,Egalitarian,-0.0004,1.0,-0.0362,0.0353,False,toxicity,ideology
Conservative,Environmentalism,-0.0005,1.0,-0.0363,0.0353,False,toxicity,ideology
Conservative,Feminist,-0.0004,1.0,-0.0361,0.0354,False,toxicity,ideology
Conservative,"Helping others, Promoting health and wellness",0.001,1.0,-0.0348,0.0367,False,toxicity,ideology
Conservative,Liberal,0.0028,1.0,-0.009,0.0146,False,toxicity,ideology
Conservative,Libertarian,-0.0002,1.0,-0.036,0.0356,False,toxicity,ideology
Conservative,Moderate,0.0444,0.0021,0.0087,0.0802,True,toxicity,ideology
Conservative,Not Applicable,0.0025,1.0,-0.0333,0.0383,False,toxicity,ideology
Conservative,Not applicable,0.007,0.9994,-0.0122,0.0262,False,toxicity,ideology
Conservative,Progressive,0.0027,1.0,-0.0136,0.0191,False,toxicity,ideology
Conservative,Social Justice,0.0297,0.2566,-0.0061,0.0655,False,toxicity,ideology
Conservative,Social responsibility and equality,-0.0006,1.0,-0.0364,0.0352,False,toxicity,ideology
Conservative,Too young to define,-0.0005,1.0,-0.0264,0.0255,False,toxicity,ideology
Egalitarian,Environmentalism,-0.0001,1.0,-0.0494,0.0492,False,toxicity,ideology
Egalitarian,Feminist,0.0001,1.0,-0.0492,0.0494,False,toxicity,ideology
Egalitarian,"Helping others, Promoting health and wellness",0.0014,1.0,-0.0479,0.0507,False,toxicity,ideology
Egalitarian,Liberal,0.0032,1.0,-0.0327,0.0392,False,toxicity,ideology
Egalitarian,Libertarian,0.0003,1.0,-0.049,0.0496,False,toxicity,ideology
Egalitarian,Moderate,0.0449,0.1278,-0.0044,0.0942,False,toxicity,ideology
Egalitarian,Not Applicable,0.0029,1.0,-0.0464,0.0523,False,toxicity,ideology
Egalitarian,Not applicable,0.0074,1.0,-0.0315,0.0464,False,toxicity,ideology
Egalitarian,Progressive,0.0032,1.0,-0.0345,0.0409,False,toxicity,ideology
Egalitarian,Social Justice,0.0302,0.8147,-0.0192,0.0795,False,toxicity,ideology
Egalitarian,Social responsibility and equality,-0.0001,1.0,-0.0495,0.0492,False,toxicity,ideology
Egalitarian,Too young to define,-0.0,1.0,-0.0427,0.0427,False,toxicity,ideology
Environmentalism,Feminist,0.0001,1.0,-0.0492,0.0495,False,toxicity,ideology
Environmentalism,"Helping others, Promoting health and wellness",0.0015,1.0,-0.0478,0.0508,False,toxicity,ideology
Environmentalism,Liberal,0.0033,1.0,-0.0326,0.0392,False,toxicity,ideology
Environmentalism,Libertarian,0.0003,1.0,-0.049,0.0496,False,toxicity,ideology
Environmentalism,Moderate,0.045,0.126,-0.0044,0.0943,False,toxicity,ideology
Environmentalism,Not Applicable,0.003,1.0,-0.0463,0.0523,False,toxicity,ideology
Environmentalism,Not applicable,0.0075,1.0,-0.0315,0.0465,False,toxicity,ideology
Environmentalism,Progressive,0.0033,1.0,-0.0344,0.0409,False,toxicity,ideology
Environmentalism,Social Justice,0.0302,0.8115,-0.0191,0.0795,False,toxicity,ideology
Environmentalism,Social responsibility and equality,-0.0001,1.0,-0.0494,0.0492,False,toxicity,ideology
Environmentalism,Too young to define,0.0001,1.0,-0.0427,0.0428,False,toxicity,ideology
Feminist,"Helping others, Promoting health and wellness",0.0013,1.0,-0.048,0.0506,False,toxicity,ideology
Feminist,Liberal,0.0032,1.0,-0.0328,0.0391,False,toxicity,ideology
Feminist,Libertarian,0.0002,1.0,-0.0491,0.0495,False,toxicity,ideology
Feminist,Moderate,0.0448,0.1295,-0.0045,0.0941,False,toxicity,ideology
Feminist,Not Applicable,0.0029,1.0,-0.0464,0.0522,False,toxicity,ideology
Feminist,Not applicable,0.0074,1.0,-0.0316,0.0464,False,toxicity,ideology
Feminist,Progressive,0.0031,1.0,-0.0345,0.0408,False,toxicity,ideology
Feminist,Social Justice,0.0301,0.8176,-0.0192,0.0794,False,toxicity,ideology
Feminist,Social responsibility and equality,-0.0002,1.0,-0.0495,0.0491,False,toxicity,ideology
Feminist,Too young to define,-0.0001,1.0,-0.0428,0.0426,False,toxicity,ideology
"Helping others, Promoting health and wellness",Liberal,0.0018,1.0,-0.0341,0.0378,False,toxicity,ideology
"Helping others, Promoting health and wellness",Libertarian,-0.0011,1.0,-0.0504,0.0482,False,toxicity,ideology
"Helping others, Promoting health and wellness",Moderate,0.0435,0.1664,-0.0058,0.0928,False,toxicity,ideology
"Helping others, Promoting health and wellness",Not Applicable,0.0015,1.0,-0.0478,0.0509,False,toxicity,ideology
"Helping others, Promoting health and wellness",Not applicable,0.006,1.0,-0.0329,0.045,False,toxicity,ideology
"Helping others, Promoting health and wellness",Progressive,0.0018,1.0,-0.0359,0.0395,False,toxicity,ideology
"Helping others, Promoting health and wellness",Social Justice,0.0288,0.8698,-0.0205,0.0781,False,toxicity,ideology
"Helping others, Promoting health and wellness",Social responsibility and equality,-0.0015,1.0,-0.0509,0.0478,False,toxicity,ideology
"Helping others, Promoting health and wellness",Too young to define,-0.0014,1.0,-0.0441,0.0413,False,toxicity,ideology
Liberal,Libertarian,-0.003,1.0,-0.0389,0.033,False,toxicity,ideology
Liberal,Moderate,0.0416,0.0069,0.0057,0.0776,True,toxicity,ideology
Liberal,Not Applicable,-0.0003,1.0,-0.0362,0.0356,False,toxicity,ideology
Liberal,Not applicable,0.0042,1.0,-0.0153,0.0237,False,toxicity,ideology
Liberal,Progressive,-0.0,1.0,-0.0167,0.0166,False,toxicity,ideology
Liberal,Social Justice,0.0269,0.4527,-0.009,0.0629,False,toxicity,ideology
Liberal,Social responsibility and equality,-0.0034,1.0,-0.0393,0.0326,False,toxicity,ideology
Liberal,Too young to define,-0.0033,1.0,-0.0294,0.0229,False,toxicity,ideology
Libertarian,Moderate,0.0446,0.1345,-0.0047,0.0939,False,toxicity,ideology
Libertarian,Not Applicable,0.0027,1.0,-0.0466,0.052,False,toxicity,ideology
Libertarian,Not applicable,0.0072,1.0,-0.0318,0.0462,False,toxicity,ideology
Libertarian,Progressive,0.0029,1.0,-0.0347,0.0406,False,toxicity,ideology
Libertarian,Social Justice,0.0299,0.826,-0.0194,0.0792,False,toxicity,ideology
Libertarian,Social responsibility and equality,-0.0004,1.0,-0.0497,0.0489,False,toxicity,ideology
Libertarian,Too young to define,-0.0003,1.0,-0.043,0.0424,False,toxicity,ideology
Moderate,Not Applicable,-0.0419,0.2183,-0.0913,0.0074,False,toxicity,ideology
Moderate,Not applicable,-0.0374,0.077,-0.0764,0.0015,False,toxicity,ideology
Moderate,Progressive,-0.0417,0.0137,-0.0794,-0.004,True,toxicity,ideology
Moderate,Social Justice,-0.0147,1.0,-0.064,0.0346,False,toxicity,ideology
Moderate,Social responsibility and equality,-0.045,0.1242,-0.0943,0.0043,False,toxicity,ideology
Moderate,Too young to define,-0.0449,0.0274,-0.0876,-0.0022,True,toxicity,ideology
Not Applicable,Not applicable,0.0045,1.0,-0.0345,0.0435,False,toxicity,ideology
Not Applicable,Progressive,0.0002,1.0,-0.0374,0.0379,False,toxicity,ideology
Not Applicable,Social Justice,0.0272,0.9176,-0.0221,0.0765,False,toxicity,ideology
Not Applicable,Social responsibility and equality,-0.0031,1.0,-0.0524,0.0462,False,toxicity,ideology
Not Applicable,Too young to define,-0.003,1.0,-0.0457,0.0397,False,toxicity,ideology
Not applicable,Progressive,-0.0043,1.0,-0.0268,0.0183,False,toxicity,ideology
Not applicable,Social Justice,0.0227,0.8708,-0.0163,0.0617,False,toxicity,ideology
Not applicable,Social responsibility and equality,-0.0076,1.0,-0.0466,0.0314,False,toxicity,ideology
Not applicable,Too young to define,-0.0075,1.0,-0.0377,0.0227,False,toxicity,ideology
Progressive,Social Justice,0.027,0.544,-0.0107,0.0646,False,toxicity,ideology
Progressive,Social responsibility and equality,-0.0033,1.0,-0.041,0.0343,False,toxicity,ideology
Progressive,Too young to define,-0.0032,1.0,-0.0317,0.0253,False,toxicity,ideology
Social Justice,Social responsibility and equality,-0.0303,0.8084,-0.0796,0.019,False,toxicity,ideology
Social Justice,Too young to define,-0.0302,0.5705,-0.0729,0.0125,False,toxicity,ideology
Social responsibility and equality,Too young to define,0.0001,1.0,-0.0426,0.0428,False,toxicity,ideology
